,date,close
866,2017-07-24,1043.01
867,2017-07-25,1043.33
868,2017-07-26,1053.2
869,2017-07-27,1083.31
870,2017-07-28,1032.85
871,2017-07-31,1019.05
872,2017-08-01,1006.4
873,2017-08-02,1003.21
874,2017-08-03,999.5
875,2017-08-04,991.672
876,2017-08-07,995.0
877,2017-08-08,996.28
878,2017-08-09,988.0
879,2017-08-10,979.86
880,2017-08-11,970.39
881,2017-08-14,985.5
882,2017-08-15,991.74
883,2017-08-16,986.461
884,2017-08-17,977.84
885,2017-08-18,965.43
886,2017-08-21,961.2
887,2017-08-22,967.93
888,2017-08-23,962.0
889,2017-08-24,959.0
890,2017-08-25,957.621
891,2017-08-28,953.0
892,2017-08-29,956.0
893,2017-08-30,969.41
894,2017-08-31,981.0
895,2017-09-01,984.5
896,2017-09-05,976.77
897,2017-09-06,971.84
898,2017-09-07,980.59
899,2017-09-08,979.88
900,2017-09-11,981.94
901,2017-09-12,984.672
902,2017-09-13,1000.0
903,2017-09-14,998.56
904,2017-09-15,996.25
905,2017-09-18,992.792
906,2017-09-19,978.24
907,2017-09-20,974.81
908,2017-09-21,971.7
909,2017-09-22,965.61
910,2017-09-25,949.42
911,2017-09-26,948.63
912,2017-09-27,955.3
913,2017-09-28,959.7
914,2017-09-29,964.83
915,2017-10-02,967.305
916,2017-10-03,963.69
917,2017-10-04,967.79
918,2017-10-05,981.51
919,2017-10-06,995.75
920,2017-10-09,998.5
921,2017-10-10,997.95
922,2017-10-11,995.5
923,2017-10-12,1008.44
924,2017-10-13,1007.77
925,2017-10-16,1009.57
926,2017-10-17,1011.47
927,2017-10-18,1022.31
928,2017-10-19,991.05
929,2017-10-20,994.62
930,2017-10-23,986.775
931,2017-10-24,979.85
932,2017-10-25,984.44
933,2017-10-26,982.9
934,2017-10-27,1105.58
935,2017-10-30,1122.79
936,2017-10-31,1110.54
937,2017-11-01,1108.97
938,2017-11-02,1101.93
939,2017-11-03,1112.68
940,2017-11-06,1125.41
941,2017-11-07,1130.6
942,2017-11-08,1135.54
943,2017-11-09,1129.62
944,2017-11-10,1131.75
945,2017-11-13,1139.9
946,2017-11-14,1138.0
947,2017-11-15,1131.75
948,2017-11-16,1138.16
949,2017-11-17,1138.8
950,2017-11-20,1133.42
951,2017-11-21,1140.0
952,2017-11-22,1160.27
953,2017-11-24,1186.84
954,2017-11-27,1213.41
955,2017-11-28,1205.34
956,2017-11-29,1194.8
957,2017-11-30,1178.57
958,2017-12-01,1179.65
959,2017-12-04,1175.2
960,2017-12-05,1159.27
961,2017-12-06,1155.89
962,2017-12-07,1163.19
963,2017-12-08,1172.79
964,2017-12-11,1169.9
965,2017-12-12,1173.6
966,2017-12-13,1170.87
967,2017-12-14,1177.93
968,2017-12-15,1182.75
969,2017-12-18,1194.78
970,2017-12-19,1192.97
971,2017-12-20,1191.0
972,2017-12-21,1179.17
973,2017-12-22,1174.62
974,2017-12-26,1178.32
975,2017-12-27,1187.29
976,2017-12-28,1190.1
977,2017-12-29,1184.0
978,2018-01-02,1190.0
979,2018-01-03,1205.49
980,2018-01-04,1215.87
981,2018-01-05,1229.14
982,2018-01-08,1253.08
983,2018-01-09,1259.33
984,2018-01-10,1254.33
985,2018-01-11,1276.77
986,2018-01-12,1305.76
987,2018-01-16,1339.94
988,2018-01-17,1314.0
989,2018-01-18,1304.6
990,2018-01-19,1313.0
991,2018-01-22,1327.45
992,2018-01-23,1364.9
993,2018-01-24,1388.16
994,2018-01-25,1378.34
995,2018-01-26,1402.53
996,2018-01-29,1431.39
997,2018-01-30,1439.25
998,2018-01-31,1472.58
999,2018-02-01,1459.88
1000,2018-02-02,1498.0
1001,2018-02-05,1458.98
1002,2018-02-06,1443.99
1003,2018-02-07,1460.99
1004,2018-02-08,1433.75
1005,2018-02-09,1383.5
1006,2018-02-12,1393.81
1007,2018-02-13,1419.72
1008,2018-02-14,1452.06
1009,2018-02-15,1468.94
1010,2018-02-16,1465.8
1011,2018-02-20,1488.77
1012,2018-02-21,1503.49
1013,2018-02-22,1502.54
1014,2018-02-23,1500.0
1015,2018-02-26,1522.84
1016,2018-02-27,1526.78
1017,2018-02-28,1528.7
1018,2018-03-01,1518.49
1019,2018-03-02,1501.05
1020,2018-03-05,1525.38
1021,2018-03-06,1542.13
1022,2018-03-07,1545.9
1023,2018-03-08,1554.88
1024,2018-03-09,1578.94
1025,2018-03-12,1605.33
1026,2018-03-13,1617.54
1027,2018-03-14,1606.44
1028,2018-03-15,1596.91
1029,2018-03-16,1589.44
1030,2018-03-19,1561.66
1031,2018-03-20,1587.0
1032,2018-03-21,1590.0
1033,2018-03-22,1573.85
1034,2018-03-23,1549.02
1035,2018-03-26,1556.99
1036,2018-03-27,1575.96
1037,2018-03-28,1455.9
1038,2018-03-29,1455.47
1039,2018-04-02,1421.36
1040,2018-04-03,1414.0
1041,2018-04-04,1415.39
1042,2018-04-05,1459.56
1043,2018-04-06,1452.5
1044,2018-04-09,1438.48
1045,2018-04-10,1438.38
